,Pais_x,Poblacion,total_gdp_million,ECI,año_x,Ecuador
250,Canada,37601230.0,1742015.045,0.9364213714,2019,0
251,Canada,38007166.0,1645423.408,0.9074886336,2020,0
252,Chile,17004162.0,217105.42,-0.2407894886,2010,0
253,Chile,17173573.0,251224.857,-0.192223882,2011,0
254,Chile,17341771.0,267175.8725,-0.0756468925,2012,0
255,Chile,18083879.0,249298.7197,-0.1450075769,2016,0
256,Chile,17687108.0,259405.202,6.08672e-05,2014,0
257,Chile,17870124.0,242496.6499,-0.090544514,2015,0
258,Chile,16833447.0,171412.642,-0.2446500781,2009,0
259,Chile,17509925.0,277239.4613,-0.0297077151,2013,0
260,Chile,16661462.0,179663.4032,-0.2580082588,2008,0
261,Chile,15859112.0,76507.57723,-0.1678175762,2003,0
262,Chile,16334575.0,153840.0518,-0.2340878861,2006,0
263,Chile,16175311.0,122314.9608,-0.2327010344,2005,0
264,Chile,16017966.0,99079.23017,-0.2424186646,2004,0
265,Chile,15693790.0,70294.8924,-0.0664163585,2002,0
266,Chile,15523978.0,71517.08004,0.0387318001,2001,0
267,Chile,15351799.0,78249.884,0.0666347164,2000,0
268,Chile,19039485.0,278584.7331,-0.2051565597,2019,0
269,Chile,19300315.0,252727.1937,-0.2220837783,2020,0
270,Chile,18701450.0,295402.652,-0.1534234389,2018,0
271,Chile,16495538.0,172565.8508,-0.2120826005,2007,0
272,Chile,18368577.0,276364.9337,-0.1980616608,2017,0
273,China,1262645000.0,1211346.87,-0.0853906216,2000,0
274,China,1411100000.0,14687673.89,0.9741412891,2020,0
275,China,1407745000.0,14279937.5,0.9746274242,2019,0
276,China,1402760000.0,13894817.55,0.9253919279,2018,0
277,China,1396215000.0,12310409.37,0.8862469629,2017,0
278,China,1387790000.0,11233276.54,0.8184816973,2016,0
279,China,1379860000.0,11061553.08,0.8528274712,2015,0
280,China,1363240000.0,9570406.236,0.8592337985,2013,0
281,China,1354190000.0,8532229.987,0.8175578211,2012,0
282,China,1345035000.0,7551500.124,0.7747264138,2011,0
283,China,1337705000.0,6087163.875,0.6984138339,2010,0
284,China,1371860000.0,10475682.92,0.8617005639,2014,0
285,China,1324655000.0,4594307.033,0.6794473619,2008,0
286,China,1331260000.0,5101703.073,0.6765049187,2009,0
287,China,1280400000.0,1470550.015,-0.0226672757,2002,0
288,China,1288400000.0,1660287.966,-0.0102433558,2003,0
289,China,1296075000.0,1955347.005,0.2017506789,2004,0
290,China,1271850000.0,1339395.719,-0.0311658339,2001,0
291,China,1311020000.0,2752131.773,0.398342471,2006,0
292,China,1317885000.0,3550342.737,0.5364970467,2007,0
293,China,1303720000.0,2285965.892,0.2321944565,2005,0
294,Colombia,43815313.0,242186.9498,-0.0231125629,2008,1
295,Colombia,39837875.0,98211.7496,0.0591102542,2001,1
296,Colombia,40454050.0,97963.0038,0.0688820791,2002,1
297,Colombia,41057687.0,94641.37869,-0.0309297473,2003,1
298,Colombia,41648268.0,117081.5223,-0.0528197461,2004,1
299,Colombia,42220940.0,145619.193,-0.1228981533,2005,1
300,Colombia,42772910.0,161618.5808,-0.0194243935,2006,1
301,Colombia,43306582.0,206181.8232,0.0197009567,2007,1
302,Colombia,44313917.0,232397.8354,-0.043151393,2009,1
303,Colombia,44816108.0,286563.0998,-0.043683775,2010,1
304,Colombia,45782417.0,370921.3179,0.0061976262,2012,1
305,Colombia,46237930.0,382116.1209,0.0786146279,2013,1
306,Colombia,46677947.0,381112.1105,0.1802939841,2014,1
307,Colombia,47119728.0,293481.7531,0.084812498,2015,1
308,Colombia,47625955.0,282825.0124,0.1117001802,2016,1
309,Colombia,48351671.0,311883.7304,0.1682853223,2017,1
310,Colombia,49276961.0,334198.2181,0.1814372096,2018,1
311,Colombia,50187406.0,323109.5403,0.1699364453,2019,1
312,Colombia,39215135.0,99886.57733,-0.019357215,2000,1
313,Colombia,45308899.0,334943.8774,0.010676004,2011,1
314,Colombia,50930662.0,270299.9849,0.1476448392,2020,1
315,Costa Rica,5123105.0,62158.00223,0.1866697152,2020,1
316,Costa Rica,3979193.0,15013.62966,-0.0720367246,2000,1
317,Costa Rica,5040734.0,62420.1651,0.1894983732,2018,1
318,Costa Rica,4993842.0,60516.04359,0.2111715281,2017,1
319,Costa Rica,4945205.0,58847.01604,0.2121213616,2016,1
320,Costa Rica,4895242.0,56441.91765,0.2964660465,2015,1
321,Costa Rica,4844288.0,52016.40895,0.252253966,2014,1
322,Costa Rica,4791535.0,50949.67221,0.1192056674,2013,1
323,Costa Rica,4736593.0,47231.65186,-0.010992142,2012,1
324,Costa Rica,4679926.0,42762.61708,-0.0406693499,2011,1
325,Costa Rica,5084532.0,64417.67008,0.2300650607,2019,1
326,Costa Rica,4622252.0,37658.6148,-0.0522981687,2010,1
327,Costa Rica,4563127.0,30745.71201,0.0849154682,2009,1
328,Costa Rica,4501921.0,30801.74488,0.1262465142,2008,1
329,Costa Rica,4440019.0,26884.70035,0.1927494387,2007,1
330,Costa Rica,4378172.0,22715.54032,0.0530073364,2006,1
331,Costa Rica,4315887.0,20040.64248,-0.0215693447,2005,1
332,Costa Rica,4252800.0,18610.59485,-0.004214944,2004,1
333,Costa Rica,4188610.0,17271.76051,0.0367974208,2003,1
334,Costa Rica,4122623.0,16578.82069,0.0001304893,2002,1
335,Costa Rica,4053222.0,15976.17434,0.0415924017,2001,1
336,Croatia,4299642.0,23259.56778,0.3626229531,2001,0
337,Croatia,4468302.0,21807.85615,0.3681238969,2000,0
338,Croatia,4065253.0,62327.98358,0.7503051288,2019,0
339,Croatia,4087843.0,62316.84075,0.7070991983,2018,0
340,Croatia,4124531.0,56323.83617,0.7009815287,2017,0
341,Croatia,4174349.0,52397.49469,0.7082078467,2016,0
342,Croatia,4203604.0,50242.78307,0.6776450173,2015,0
343,Croatia,4238389.0,58423.98144,0.7512995468,2014,0
344,Croatia,4255689.0,59032.06609,0.7389494351,2013,0
345,Croatia,4267558.0,57369.3593,0.7023493744,2012,0
346,Croatia,4280622.0,63408.29494,0.6354613352,2011,0
347,Croatia,4295427.0,60672.09386,0.6451497679,2010,0
348,Croatia,4305181.0,63324.39463,0.6269674368,2009,0
349,Croatia,4309705.0,70943.30008,0.6218197255,2008,0
350,Croatia,4310217.0,60641.94298,0.5681136741,2007,0
351,Croatia,4311159.0,50915.01629,0.4879689055,2006,0
352,Croatia,4310145.0,45835.09819,0.4295337232,2005,0
353,Croatia,4304600.0,42013.4593,0.407682448,2004,0
354,Croatia,4303399.0,35022.90339,0.3575016964,2003,0
355,Croatia,4302174.0,27085.26228,0.3276215776,2002,0
356,Croatia,4047680.0,57472.01243,0.7428212073,2020,0
357,Denmark,5523095.0,321241.3037,1.042884858,2009,0
358,Denmark,5375931.0,178635.1637,1.1568990799,2002,0
359,Denmark,5390574.0,218096.0335,1.1569302728,2003,0
360,Denmark,5404523.0,251373.003,1.1544270589,2004,0
361,Denmark,5419432.0,264467.3365,1.098806246,2005,0
362,Denmark,5437272.0,282884.9477,1.0328481939,2006,0
363,Denmark,5461438.0,319423.4245,1.0202845379,2007,0
364,Denmark,5493621.0,353361.0388,1.0462732217,2008,0
365,Denmark,5547683.0,321995.2794,1.0368962317,2010,0
366,Denmark,5358783.0,164791.4425,1.1578072341,2001,0
367,Denmark,5591572.0,327148.9438,1.0524759189,2012,0
368,Denmark,5614932.0,343584.3916,1.0489208739,2013,0
369,Denmark,5643475.0,352993.6316,1.0255555143,2014,0
370,Denmark,5683483.0,302673.0708,1.0310946715,2015,0
371,Denmark,5728010.0,313115.9293,1.0185717567,2016,0
372,Denmark,5764980.0,332121.0638,1.0039882165,2017,0
373,Denmark,5793636.0,356841.2164,0.9723751738,2018,0
374,Denmark,5814422.0,346498.738,0.9834257636,2019,0
375,Denmark,5570572.0,344003.1376,1.0371291894,2011,0
376,Denmark,5339616.0,164158.7391,1.1908134085,2000,0
377,Denmark,5831404.0,355222.4495,0.9759024257,2020,0
378,Dominican Republic,8669040.0,25601.7654,-0.586336923,2001,1
379,Dominican Republic,8795101.0,27137.50866,-0.5874184112,2002,1
380,Dominican Republic,10999664.0,78844.70233,-0.1459111716,2020,1
381,Dominican Republic,8919852.0,21403.16785,-0.5460358371,2003,1
382,Dominican Republic,9043127.0,22322.39537,-0.4828564575,2004,1
