1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Country,Country ID
0.957018353,1.005689024,1.045155177,1.132587544,1.133725735,1.201115985,1.238601235,1.260276461,1.309614185,1.318106129,1.342354095,1.373665989,1.358795074,1.415949344,1.407933536,1.430149657,1.400832442,1.413005655,1.467236396,1.497180961,1.469172017,1.455496195,1.458230726,1.418681046,Eslovenia,eusvn
0.933516082,0.951108397,0.998797827,1.05741575,1.007839321,0.981025658,0.923984186,0.891118201,0.890914052,0.897260167,0.878002566,0.891879763,0.84596964,0.840061045,0.812556887,0.834857202,0.824378102,0.797481992,0.776108371,0.774579544,0.773935414,0.77756468,0.763129157,0.781043113,España,euesp
1.680791121,1.607006224,1.660990483,1.701258977,1.698210555,1.707583715,1.694205951,1.652593555,1.619117981,1.557677334,1.583626518,1.568067002,1.589867561,1.619525963,1.61463605,1.603283515,1.564155313,1.59359449,1.610408447,1.572638847,1.560801257,1.553339231,1.546469929,1.463427482,Estados Unidos,nausa
,,,,,,,,,,,,,-0.828043635,-0.998381043,-1.026258265,-0.968702628,-0.97583474,-0.985916378,-0.837359652,-0.67603606,-0.771222953,-0.866615981,-0.798047429,Etiopía,afeth
-1.011376478,-0.731895406,-0.532997649,-0.477840818,-0.350186138,-0.27330706,-0.092059302,-0.188471391,-0.106990882,0.061966989,0.302535525,0.201478699,0.229839644,0.370105962,0.35453281,0.367951028,0.361897364,0.351422626,0.377585061,0.525382198,0.614602168,0.587556009,0.564821859,0.717583649,Filipinas,asphl
1.609324872,1.55410966,1.586676964,1.656022371,1.671710508,1.678420588,1.730114391,1.748842244,1.695498336,1.626918668,1.584419689,1.653690702,1.601916795,1.611437862,1.561293043,1.574420954,1.545147895,1.5399407,1.504796745,1.483026987,1.473395465,1.46536969,1.48422276,1.416627523,Finlandia,eufin
1.434742256,1.37284882,1.37778244,1.440871831,1.461734175,1.514367909,1.514738733,1.474168389,1.402189343,1.367566675,1.388405247,1.407981479,1.417077732,1.449287615,1.456942742,1.449165901,1.382787213,1.395695701,1.395101307,1.387147713,1.370506312,1.352071257,1.35268049,1.345893703,Francia,eufra
-0.976769041,-1.248662539,-1.069783496,-1.37873221,-1.612419542,-1.491729477,-1.596664803,-1.709466571,-1.700494574,-2.042520694,-1.705338032,-1.946020426,-1.876926426,-1.975633074,-1.733217663,-1.785673516,-1.834771906,-1.346558563,-1.902453695,-1.708849922,-1.523135598,-1.506192044,-1.375684621,-1.414719471,Gabón,afgab
,,,,,,,,,0.258688233,0.095363619,0.039152115,0.025094417,0.066610327,0.146001716,0.089511776,-0.000243255,0.031734055,0.026887309,-0.010639025,0.006335397,0.051595846,-0.052519993,-0.009701447,Georgia,asgeo
,-1.272290151,-1.354531122,-1.232428757,-1.423266277,-1.348438331,-1.235882465,-1.150804071,-1.356690417,-1.175912934,-1.103745005,-1.288173618,-1.205117691,-1.036232175,-1.003598076,-0.925724526,-0.960936265,-0.90285599,-0.979379563,-1.076775765,-1.30351652,-1.319842209,-1.292320954,-1.266546459,Ghana,afgha
0.103151275,0.208283051,0.238767087,0.251350963,0.240629544,0.235132193,0.241543816,0.224304354,0.212064617,0.272400344,0.240385698,0.225224726,0.224267463,0.218375866,0.209744988,0.254664278,0.301397937,0.259870409,0.259503746,0.333579356,0.274950118,0.260264283,0.255552291,0.322046366,Grecia,eugrc
-0.48579084,-0.429576147,-0.343446774,-0.462005731,-0.435855202,-0.387005125,-0.353544393,-0.45294086,-0.442545591,-0.351785792,-0.340079635,-0.466547438,-0.539598766,-0.515619267,-0.48973543,-0.465015933,-0.349323388,-0.365925693,-0.410405703,-0.32497771,-0.361594778,-0.322378848,-0.384295515,-0.237042685,Guatemala,nagtm
,,,,,,,,,-1.68621371,-2.022730268,-2.089897491,-1.862390444,-1.770494109,-1.966534447,-1.613175217,-1.598852191,-1.36651922,-1.638265812,-1.579349664,-1.716308095,-1.637875204,-1.671426889,-1.844747328,Guinea,afgin
-0.998990013,-0.819456112,-0.805175943,-0.932426944,-1.036602945,-1.042202838,-0.899159417,-0.961755347,-0.926290065,-0.71748341,-0.679764142,-0.746857881,-0.770069733,-0.807838211,-0.732754224,-0.639345044,-0.542927288,-0.594295228,-0.583850393,-0.608496607,-0.524051011,-0.548188147,-0.599257016,-0.499115517,Honduras,nahnd
-0.443472856,-0.182645867,0.016411123,0.067980595,0.127560535,0.144173936,0.274628986,0.316580555,0.414954389,0.511634862,0.67165863,0.664930231,0.672889057,0.770338722,0.837693656,0.853343241,0.811574447,0.86371384,0.919905005,0.950743298,0.999035375,1.035761036,1.102620397,1.155836357,Hong Kong,ashkg
0.562974144,0.649698711,0.710603637,0.80132991,0.853954269,0.934091108,1.011044149,1.014436274,1.128701972,1.179463818,1.259475161,1.301399693,1.292352051,1.391145611,1.37678922,1.377304229,1.397273425,1.400481898,1.428204257,1.421772597,1.42775755,1.414052186,1.412558373,1.359776915,Hungría,euhun
-0.175054009,-0.097410986,-0.016879664,0.070000812,0.060846875,0.090131678,0.153538819,0.203120229,0.222061931,0.27850842,0.30899991,0.301410604,0.280112492,0.287784975,0.340660267,0.356354901,0.35428387,0.405146425,0.409558109,0.476574578,0.478509945,0.520710813,0.561377682,0.609017762,India,asind
-0.840555585,-0.675576133,-0.551249545,-0.484044964,-0.485592573,-0.482462952,-0.377000953,-0.383985996,-0.313466137,-0.172230454,-0.159968125,-0.206028001,-0.293809937,-0.316520973,-0.331928847,-0.287679847,-0.214109575,-0.207426789,-0.167725865,-0.158838123,-0.129046821,-0.061340068,-0.074292609,0.042303701,Indonesia,asidn
-1.942960012,-2.848914366,-2.604499569,-1.275151779,-1.334313181,-0.272440095,-0.95275996,-0.90766474,-1.280616664,-1.689621269,-1.668672832,-1.681841687,-1.645087689,-1.707996918,-1.574724126,-1.266095807,-1.300926063,-0.570890074,-0.802612602,-0.930477112,-0.822608865,-0.546551306,-0.671442093,-1.12350157,Irak,asirq
-0.202329805,-0.359570036,-0.465455098,-0.377765478,-0.509592912,-0.534977984,-0.378572225,-0.320556257,-0.197783425,-0.218301772,-0.331795775,-0.328370055,-0.277865766,-0.170428367,-0.12764813,0.011475414,0.10335741,0.097119066,0.02125839,-0.026094003,-0.054023048,-0.103515747,-0.113679479,-0.090550403,Irán,asirn
1.388590763,1.406761004,1.442632634,1.535050791,1.629560467,1.659703118,1.633056436,1.646685351,1.475581683,1.400413119,1.325671319,1.364110034,1.358665854,1.302665115,1.404882902,1.372158179,1.31549525,1.332679036,1.354516755,1.389514182,1.272858767,1.267470926,1.30872412,1.288973155,Irlanda,euirl
